pivot_grammar	Expanded_Features	English	Sanskrit
class_sn		Sūtra Verb	सौत्रधातु
ind	Case=Ind	Indeclinable	अव्ययम्
krt_ind	vargaH:kqw_avy	kṛt-avyayam	कृत्-अव्ययम्
tad_ind	vargaH:waxXiwa_avy	taddhita-avyayam	तद्धित-अव्ययम्
verbform_part		Participle	कृदन्तम्
verbform_gdv		Gerundive	कृत्यः
verbform_abs	VerbForm=Conv	Converb	अव्ययकृदन्तम्
kqw_yaw			
kqw_anIyar			
kqw_wavya			
kqw_kwvA			
kqw_lyap			
kqw_Namul			
kqw_wumun			
kqw_Nyaw			
verbform_part|tense_pres	ppr.	Present Participle	वर्तमानकालिक-कृदन्तम् (सत्)
verbform_part|tense_perf	ppf.	Perfect Participle	परोक्षभूतकालिक-कृदन्तम् (लिडादेशः)
verbform_part|tense_fut	pfu.	Future Participle	भविष्यत्कालिक-कृदन्तम् (लृटः सद्वा)
verbform_part|tense_pres|prayoga_karwari|paxa_parasmE	kqw_prawyayaH:Sawq_lat	Present Active Participle	शतृ_लट्
verbform_part|tense_pres|prayoga_karwari|paxa_Awmane	kqw_prawyayaH:SAnac_lat	Present Middle Participle	शानच्_लट्
verbform_part|tense_pres|prayoga_karmaNi|paxa_Awmane	kqw_prawyayaH:SAnac_lat	Present Passive Participle	शानच्_लट् कर्मणि
verbform_part|tense_past|prayoga_karwari	kqw_prawyayaH:kwavawu	Past Active Participle	क्तवतु
verbform_part|tense_past|prayoga_karmaNi	kqw_prawyayaH:kwa	Past Passive Participle	क्त
verbform_part|tense_perf|prayoga_kartari|pada_parasmai	kqw_prawyayaH:kvasu	Perfect Active Participle	लिडादेश (क्वसु)
verbform_part|tense_perf|prayoga_kartari|pada_atmane	kqw_prawyayaH:kAnac	Perfect Middle Participle	लिडादेश (कानच्)
verbform_part|tense_fut|prayoga_kartari|pada_parasmai	kqw_prawyayaH:Sawq_lqt	Future Active Participle	शतृ_लृट्
verbform_part|tense_fut|prayoga_kartari|pada_atmane	kqw_prawyayaH:SAnac_lqt	Future Middle Participle	शानच्_लृट्
verbform_gdv|kqw_yaw	kqw_prawyayaH:yaw	Future Passive Participle - yat	यत्
verbform_gdv|kqw_anIyar	kqw_prawyayaH:anIyar	Future Passive Participle - anīyar	अनीयर्
verbform_gdv|kqw_wavyaw	kqw_prawyayaH:wavyaw	Future Passive Participle - tavya	तव्य
verbform_abs|kqw_kwvA	kqw_prawyayaH:kwvA	Absolutive - ktvā	क्त्वा
verbform_abs|kqw_lyap	kqw_prawyayaH:lyap	Absolutive - lyap	ल्यप्
verbform_abs|kqw_Namul	kqw_prawyayaH:Namul	Absolutive - ṇamul	णमुल्
verbform_inf|kqw_wumun	VerbForm=Inf	Infinitive - tumun	तुमुन्
verbform_gdv|kqw_Nyaw	kqw_prawyayaH:Nyaw	Future Passive Participle - ṇyat	ण्यत्
kqw_kyap	kqw_prawyayaH:kyap	kyap	क्यप्
kqw_kelimar	kqw_prawyayaH:kelimar	kelimar	केलिमर्
kqw_Nvul	kqw_prawyayaH:Nvul	ṇvul	ण्वुल्
kqw_wqc	kqw_prawyayaH:wqc	tṛc	तृच्
kqw_lyu	kqw_prawyayaH:lyu	lyu	ल्यु
kqw_Nini	kqw_prawyayaH:Nini	ṇini	णिनि
kqw_ac	kqw_prawyayaH:ac	ac	अच्
kqw_ka	kqw_prawyayaH:ka	ka	क
kqw_Sa	kqw_prawyayaH:Sa	śa	श
kqw_Na	kqw_prawyayaH:Na	ṇa	ण
kqw_Rvun	kqw_prawyayaH:Rvun	ṣvun	ष्वुन्
kqw_Wakan	kqw_prawyayaH:Wakan	thakan	थकन्
kqw_Nyut	kqw_prawyayaH:Nyut	ṇyuṭ	ण्युट्
kqw_vun	kqw_prawyayaH:vun	vun	वुन्
kqw_aN	kqw_prawyayaH:aN	aṇ	अण्
kqw_tak	kqw_prawyayaH:tak	ṭak	टक्
kqw_ta	kqw_prawyayaH:ta	ṭa	ट
kqw_in	kqw_prawyayaH:in	in	इन्
kqw_KaS	kqw_prawyayaH:KaS	khaś	खश्
kqw_Kac	kqw_prawyayaH:Kac	khac	खच्
kqw_da	kqw_prawyayaH:da	ḍa	ड
kqw_Kyun	kqw_prawyayaH:Kyun	khyun	ख्युन्
kqw_KiRNuc	kqw_prawyayaH:KiRNuc	khiṣṇuc	खिष्णुच्
kqw_KukaF	kqw_prawyayaH:KukaF	khukañ	खुकञ्
kqw_kvin	kqw_prawyayaH:kvin	kvin	क्विन्
kqw_kaF	kqw_prawyayaH:kaF	kañ	कञ्
kqw_kvip	kqw_prawyayaH:kvip	kvip	क्विप्
kqw_Nvi	kqw_prawyayaH:Nvi	ṇvi	ण्वि
kqw_Fyut	kqw_prawyayaH:Fyut	ñyuṭ	ञ्युट्
kqw_vit	kqw_prawyayaH:vit	viṭ	विट्
kqw_kap	kqw_prawyayaH:kap	kap	कप्
kqw_Nvin	kqw_prawyayaH:Nvin	ṇvin	ण्विन्
kqw_vic	kqw_prawyayaH:vic	vic	विच्
kqw_manin	kqw_prawyayaH:manin	manin	मनिन्
kqw_kvanip	kqw_prawyayaH:kvanip	kvanip	क्वनिप्
kqw_vanip	kqw_prawyayaH:vanip	vanip	वनिप्
kqw_ini	kqw_prawyayaH:ini	ini	इनि
kqw_fvanip	kqw_prawyayaH:fvanip	ṅvanip	ङ्वनिप्
kqw_awqn	kqw_prawyayaH:awqn	atṛn	अतृन्
kqw_SAyac	kqw_prawyayaH:SAyac	śāyac	शायच्
kqw_SAnan	kqw_prawyayaH:SAnan	śānan	शानन्
kqw_cAnaS	kqw_prawyayaH:cAnaS	cānaś	चानश्
kqw_wqn	kqw_prawyayaH:wqn	tṛn	तृन्
kqw_iRNuc	kqw_prawyayaH:iRNuc	iṣṇuc	इष्णुच्
kqw_gsnu	kqw_prawyayaH:gsnu	gsnu	ग्स्नु
kqw_knu	kqw_prawyayaH:knu	knu	क्नु
kqw_GinuN	kqw_prawyayaH:GinuN	ghinuṇ	घिनुण्
kqw_vuF	kqw_prawyayaH:vuF	vuñ	वुञ्
kqw_yuc	kqw_prawyayaH:yuc	yuc	युच्
kqw_ukaF	kqw_prawyayaH:ukaF	ukañ	उकञ्
kqw_RAkan	kqw_prawyayaH:RAkan	ṣākan	षाकन्
kqw_Aluc	kqw_prawyayaH:Aluc	āluc	आलुच्
kqw_ru	kqw_prawyayaH:ru	ru	रु
kqw_kmarac	kqw_prawyayaH:kmarac	kmarac	क्मरच्
kqw_Gurac	kqw_prawyayaH:Gurac	ghurac	घुरच्
kqw_kurac	kqw_prawyayaH:kurac	kurac	कुरच्
kqw_kvarap	kqw_prawyayaH:kvarap	kvarap	क्वरप्
kqw_Uka	kqw_prawyayaH:Uka	ūka	ऊक
kqw_ra	kqw_prawyayaH:ra	ra	र
kqw_u	kqw_prawyayaH:u	u	उ
kqw_ki	kqw_prawyayaH:ki	ki	कि
kqw_kin	kqw_prawyayaH:kin	kin	किन्
kqw_najif	kqw_prawyayaH:najif	najiṅ	नजिङ्
kqw_Aru	kqw_prawyayaH:Aru	āru	आरु
kqw_kruk	kqw_prawyayaH:kruk	kruk	क्रुक्
kqw_klukan	kqw_prawyayaH:klukan	klukan	क्लुकन्
kqw_varac	kqw_prawyayaH:varac	varac	वरच्
kqw_du	kqw_prawyayaH:du	ḍu	डु
kqw_Rtran	kqw_prawyayaH:Rtran	ṣṭran	ष्ट्रन्
kqw_iwra	kqw_prawyayaH:iwra	itra	इत्र
kqw_GaF	kqw_prawyayaH:GaF	ghañ	घञ्
kqw_ap	kqw_prawyayaH:ap	ap	अप्
kqw_kwri	kqw_prawyayaH:kwri	ktri	क्त्रि
kqw_aWuc	kqw_prawyayaH:aWuc	athuc	अथुच्
kqw_naf	kqw_prawyayaH:naf	naṅ	नङ्
